Constituency,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,Win_Lost_Flag
Jorhat,Sunil Sen,None of the Above,1076,10,1086,0.62,175542,1086,50888,False
Mariani,Sanjay Nair,Indian National Congress,70270,709,70979,30.72,231046,70979,70979,True
Mariani,Deepa Das,Bharatiya Janata Party,57502,580,58082,25.14,231046,58082,70979,False
Mariani,Manoj Singh,None of the Above,26931,272,27203,11.77,231046,27203,70979,False
Mariani,Deepa Reddy,Asom Gana Parishad,16123,162,16285,7.05,231046,16285,70979,False
Mariani,Amit Patel,All India United Democratic Front,13451,135,13586,5.88,231046,13586,70979,False
Mariani,Sanjay Menon,Independent,266,2,268,0.12,231046,268,70979,False
Titabor,Sunil Sen,Bharatiya Janata Party,52671,532,53203,25.13,211683,53203,53203,True
Titabor,Manoj Sharma,All India United Democratic Front,33553,338,33891,16.01,211683,33891,53203,False
Titabor,Anita Kumar,None of the Above,13669,138,13807,6.52,211683,13807,53203,False
Titabor,Priya Kumar,Indian National Congress,10054,101,10155,4.8,211683,10155,53203,False
Titabor,Ramesh Patel,Independent,4258,43,4301,2.03,211683,4301,53203,False
Titabor,Rahul Sharma,Asom Gana Parishad,1993,20,2013,0.95,211683,2013,53203,False
Golaghat,Rahul Sharma,Asom Gana Parishad,49960,504,50464,21.55,234119,50464,50464,True
Golaghat,Sanjay Kumar,None of the Above,35348,357,35705,15.25,234119,35705,50464,False
Golaghat,Rahul Nair,All India United Democratic Front,18682,188,18870,8.06,234119,18870,50464,False
Golaghat,Sunil Nair,Bharatiya Janata Party,16929,170,17099,7.3,234119,17099,50464,False
Golaghat,Anjali Reddy,Indian National Congress,15943,161,16104,6.88,234119,16104,50464,False
Golaghat,Sanjay Menon,Independent,2146,21,2167,0.93,234119,2167,50464,False
Dergaon,Manoj Das,Indian National Congress,90482,913,91395,38.92,234841,91395,91395,True
Dergaon,Manoj Patel,Asom Gana Parishad,31469,317,31786,13.54,234841,31786,91395,False
Dergaon,Amit Sen,None of the Above,15945,161,16106,6.86,234841,16106,91395,False
Dergaon,Sunil Menon,All India United Democratic Front,9458,95,9553,4.07,234841,9553,91395,False
Dergaon,Rahul Gogoi,Bharatiya Janata Party,4243,42,4285,1.82,234841,4285,91395,False
Dergaon,Kavita Kumar,Independent,1534,15,1549,0.66,234841,1549,91395,False
Bokakhat,Manoj Bora,All India United Democratic Front,43912,443,44355,18.82,235631,44355,44355,True
Bokakhat,Anjali Roy,Asom Gana Parishad,42930,433,43363,18.4,235631,43363,44355,False
Bokakhat,Kavita Nair,Bharatiya Janata Party,41437,418,41855,17.76,235631,41855,44355,False
Bokakhat,Anita Singh,None of the Above,35088,354,35442,15.04,235631,35442,44355,False
Bokakhat,Sanjay Das,Indian National Congress,17287,174,17461,7.41,235631,17461,44355,False
Bokakhat,Priya Bora,Independent,4170,42,4212,1.79,235631,4212,44355,False
Khumtai,Rahul Reddy,Bharatiya Janata Party,59384,599,59983,26.47,226629,59983,59983,True
Khumtai,Ramesh Sen,Indian National Congress,55690,562,56252,24.82,226629,56252,59983,False
Khumtai,Priya Kumar,Asom Gana Parishad,36402,367,36769,16.22,226629,36769,59983,False
Khumtai,Sanjay Gogoi,None of the Above,15362,155,15517,6.85,226629,15517,59983,False
Khumtai,Amit Nair,Independent,3644,36,3680,1.62,226629,3680,59983,False
Khumtai,Suresh Sen,All India United Democratic Front,3278,33,3311,1.46,226629,3311,59983,False
Sarupathar,Ramesh Bora,Indian National Congress,47463,479,47942,25.85,185474,47942,47942,True
Sarupathar,Sanjay Patel,Asom Gana Parishad,44179,446,44625,24.06,185474,44625,47942,False
Sarupathar,Amit Nair,Bharatiya Janata Party,31765,320,32085,17.3,185474,32085,47942,False
Sarupathar,Anita Roy,None of the Above,11036,111,11147,6.01,185474,11147,47942,False
Sarupathar,Kavita Sharma,Independent,4038,40,4078,2.2,185474,4078,47942,False
Sarupathar,Rahul Menon,All India United Democratic Front,3237,32,3269,1.76,185474,3269,47942,False
Bokajan,Manoj Patel,All India United Democratic Front,70175,708,70883,37.75,187784,70883,70883,True
Bokajan,Rahul Singh,Asom Gana Parishad,28254,285,28539,15.2,187784,28539,70883,False
Bokajan,Anjali Menon,Bharatiya Janata Party,13579,137,13716,7.3,187784,13716,70883,False
Bokajan,Manoj Das,None of the Above,11336,114,11450,6.1,187784,11450,70883,False
Bokajan,Kavita Das,Indian National Congress,3085,31,3116,1.66,187784,3116,70883,False
Bokajan,Deepa Das,Independent,1235,12,1247,0.66,187784,1247,70883,False
Howraghat,Sunil Bora,All India United Democratic Front,55146,557,55703,26.45,210619,55703,55703,True
Howraghat,Anita Gogoi,None of the Above,38996,393,39389,18.7,210619,39389,55703,False
Howraghat,Sanjay Patel,Indian National Congress,32680,330,33010,15.67,210619,33010,55703,False
Howraghat,Deepa Sen,Asom Gana Parishad,22871,231,23102,10.97,210619,23102,55703,False
Howraghat,Manoj Bora,Bharatiya Janata Party,7364,74,7438,3.53,210619,7438,55703,False
Howraghat,Sunil Patel,Independent,1108,11,1119,0.53,210619,1119,55703,False
Diphu,Suresh Bora,Bharatiya Janata Party,61059,616,61675,35.08,175811,61675,61675,True
Diphu,Anita Sharma,Indian National Congress,42773,432,43205,24.57,175811,43205,61675,False
Diphu,Deepa Sen,Asom Gana Parishad,23393,236,23629,13.44,175811,23629,61675,False
Diphu,Manoj Das,None of the Above,20005,202,20207,11.49,175811,20207,61675,False
Diphu,Sunil Das,All India United Democratic Front,1885,19,1904,1.08,175811,1904,61675,False
Diphu,Sanjay Sen,Independent,798,8,806,0.46,175811,806,61675,False
Rongkhang,Amit Singh,Indian National Congress,46366,468,46834,26.31,178027,46834,46834,True
Rongkhang,Kavita Sharma,Bharatiya Janata Party,26140,264,26404,14.83,178027,26404,46834,False
Rongkhang,Anjali Patel,All India United Democratic Front,22786,230,23016,12.93,178027,23016,46834,False
Rongkhang,Sanjay Das,Asom Gana Parishad,15990,161,16151,9.07,178027,16151,46834,False
Rongkhang,Sunil Reddy,None of the Above,13669,138,13807,7.76,178027,13807,46834,False
Rongkhang,Anjali Patel,Independent,4214,42,4256,2.39,178027,4256,46834,False
Amri,Anjali Reddy,Bharatiya Janata Party,62411,630,63041,32.01,196934,63041,63041,True
Amri,Sunil Reddy,Asom Gana Parishad,58939,595,59534,30.23,196934,59534,63041,False
Amri,Sanjay Bora,All India United Democratic Front,29617,299,29916,15.19,196934,29916,63041,False
Amri,Anita Singh,Independent,1791,18,1809,0.92,196934,1809,63041,False
Amri,Rahul Reddy,Indian National Congress,655,6,661,0.34,196934,661,63041,False
Amri,Anjali Reddy,None of the Above,431,4,435,0.22,196934,435,63041,False
Haflong,Suresh Roy,Bharatiya Janata Party,75932,766,76698,43.15,177755,76698,76698,True
Haflong,Deepa Nair,Asom Gana Parishad,48376,488,48864,27.49,177755,48864,76698,False
Haflong,Anita Sen,Indian National Congress,14990,151,15141,8.52,177755,15141,76698,False
Haflong,Rahul Sharma,All India United Democratic Front,3190,32,3222,1.81,177755,3222,76698,False
Haflong,Amit Gogoi,Independent,1884,19,1903,1.07,177755,1903,76698,False
Haflong,Ramesh Roy,None of the Above,464,4,468,0.26,177755,468,76698,False
Lakhipur,Manoj Reddy,Bharatiya Janata Party,89006,899,89905,39.05,230224,89905,89905,True
Lakhipur,Kavita Reddy,Asom Gana Parishad,45782,462,46244,20.09,230224,46244,89905,False
Lakhipur,Anita Das,None of the Above,25826,260,26086,11.33,230224,26086,89905,False
Lakhipur,Manoj Sen,Indian National Congress,7462,75,7537,3.27,230224,7537,89905,False
Lakhipur,Deepa Nair,All India United Democratic Front,3715,37,3752,1.63,230224,3752,89905,False
Lakhipur,Ramesh Sharma,Independent,936,9,945,0.41,230224,945,89905,False
Udharbond,Anita Sen,Asom Gana Parishad,99860,1008,100868,42.32,238373,100868,100868,True
Udharbond,Suresh Das,Bharatiya Janata Party,35056,354,35410,14.85,238373,35410,100868,False
Udharbond,Sanjay Das,None of the Above,27182,274,27456,11.52,238373,27456,100868,False
Udharbond,Rahul Bora,All India United Democratic Front,7671,77,7748,3.25,238373,7748,100868,False
Udharbond,Rahul Kumar,Indian National Congress,6407,64,6471,2.71,238373,6471,100868,False
Udharbond,Manoj Kumar,Independent,3473,35,3508,1.47,238373,3508,100868,False
Katigorah,Rahul Bora,Asom Gana Parishad,60777,613,61390,29.29,209626,61390,61390,True
Katigorah,Manoj Menon,Bharatiya Janata Party,57016,575,57591,27.47,209626,57591,61390,False
Katigorah,Priya Patel,All India United Democratic Front,16929,170,17099,8.16,209626,17099,61390,False
Katigorah,Manoj Gogoi,None of the Above,10673,107,10780,5.14,209626,10780,61390,False
Katigorah,Deepa Gogoi,Independent,1467,14,1481,0.71,209626,1481,61390,False
Katigorah,Rahul Gogoi,Indian National Congress,1439,14,1453,0.69,209626,1453,61390,False
Borkhola,Kavita Kumar,Bharatiya Janata Party,44548,449,44997,22.05,204060,44997,44997,True
Borkhola,Priya Kumar,None of the Above,29876,301,30177,14.79,204060,30177,44997,False
Borkhola,Rahul Bora,Asom Gana Parishad,16466,166,16632,8.15,204060,16632,44997,False
Borkhola,Rahul Menon,All India United Democratic Front,9466,95,9561,4.69,204060,9561,44997,False
Borkhola,Priya Kumar,Indian National Congress,8957,90,9047,4.43,204060,9047,44997,False
Borkhola,Kavita Reddy,Independent,136,1,137,0.07,204060,137,44997,False
Silchar,Sunil Kumar,Bharatiya Janata Party,54585,551,55136,26.31,209525,55136,55136,True
Silchar,Rahul Nair,Asom Gana Parishad,46863,473,47336,22.59,209525,47336,55136,False
Silchar,Ramesh Kumar,All India United Democratic Front,32447,327,32774,15.64,209525,32774,55136,False
Silchar,Amit Gogoi,None of the Above,26090,263,26353,12.58,209525,26353,55136,False
Silchar,Kavita Nair,Indian National Congress,14038,141,14179,6.77,209525,14179,55136,False
Silchar,Sanjay Das,Independent,1158,11,1169,0.56,209525,1169,55136,False
Sonai,Anita Das,Asom Gana Parishad,89387,902,90289,39.21,230258,90289,90289,True
Sonai,Anita Singh,Indian National Congress,36301,366,36667,15.92,230258,36667,90289,False
Sonai,Anita Nair,All India United Democratic Front,34948,353,35301,15.33,230258,35301,90289,False
Sonai,Sunil Sharma,Bharatiya Janata Party,26223,264,26487,11.5,230258,26487,90289,False
Sonai,Rahul Menon,None of the Above,2957,29,2986,1.3,230258,2986,90289,False
Sonai,Sunil Bora,Independent,2049,20,2069,0.9,230258,2069,90289,False
Dholai,Sanjay Kumar,Asom Gana Parishad,62862,634,63496,28.4,223546,63496,63496,True
Dholai,Kavita Menon,Bharatiya Janata Party,28089,283,28372,12.69,223546,28372,63496,False
Dholai,Priya Patel,None of the Above,26520,267,26787,11.98,223546,26787,63496,False
Dholai,Anita Patel,Indian National Congress,20486,206,20692,9.26,223546,20692,63496,False
Dholai,Rahul Patel,All India United Democratic Front,12678,128,12806,5.73,223546,12806,63496,False
Dholai,Suresh Singh,Independent,4896,49,4945,2.21,223546,4945,63496,False
Hailakandi,Ramesh Sen,Bharatiya Janata Party,43982,444,44426,23.51,188960,44426,44426,True
Hailakandi,Manoj Kumar,None of the Above,37097,374,37471,19.83,188960,37471,44426,False
Hailakandi,Suresh Nair,All India United Democratic Front,25657,259,25916,13.72,188960,25916,44426,False
Hailakandi,Anjali Kumar,Asom Gana Parishad,12618,127,12745,6.74,188960,12745,44426,False
Hailakandi,Anita Bora,Indian National Congress,7591,76,7667,4.06,188960,7667,44426,False
Hailakandi,Sunil Gogoi,Independent,996,10,1006,0.53,188960,1006,44426,False
Algapur–Katlicherra,Priya Nair,Indian National Congress,49398,498,49896,20.74,240564,49896,49896,True
Algapur–Katlicherra,Manoj Menon,Bharatiya Janata Party,32202,325,32527,13.52,240564,32527,49896,False
Algapur–Katlicherra,Ramesh Bora,All India United Democratic Front,23459,236,23695,9.85,240564,23695,49896,False
Algapur–Katlicherra,Amit Sharma,Asom Gana Parishad,16952,171,17123,7.12,240564,17123,49896,False
Algapur–Katlicherra,Rahul Sharma,None of the Above,7783,78,7861,3.27,240564,7861,49896,False
Algapur–Katlicherra,Kavita Patel,Independent,2070,20,2090,0.87,240564,2090,49896,False
Karimganj North,Deepa Sen,Asom Gana Parishad,60012,606,60618,26.96,224880,60618,60618,True
Karimganj North,Amit Patel,None of the Above,41474,418,41892,18.63,224880,41892,60618,False
Karimganj North,Priya Kumar,Bharatiya Janata Party,28255,285,28540,12.69,224880,28540,60618,False
Karimganj North,Anjali Reddy,Indian National Congress,8620,87,8707,3.87,224880,8707,60618,False
Karimganj North,Ramesh Das,All India United Democratic Front,4499,45,4544,2.02,224880,4544,60618,False
Karimganj North,Manoj Nair,Independent,2466,24,2490,1.11,224880,2490,60618,False
Karimganj South,Sunil Das,Bharatiya Janata Party,71374,720,72094,33.79,213363,72094,72094,True
Karimganj South,Anjali Reddy,Indian National Congress,50310,508,50818,23.82,213363,50818,72094,False
Karimganj South,Anjali Sharma,None of the Above,26468,267,26735,12.53,213363,26735,72094,False
Karimganj South,Manoj Roy,Asom Gana Parishad,18174,183,18357,8.6,213363,18357,72094,False
Karimganj South,Kavita Patel,All India United Democratic Front,2772,28,2800,1.31,213363,2800,72094,False
Karimganj South,Kavita Singh,Independent,1564,15,1579,0.74,213363,1579,72094,False
Patharkandi,Rahul Nair,Asom Gana Parishad,94593,955,95548,41.25,231611,95548,95548,True
Patharkandi,Sanjay Sen,Indian National Congress,51275,517,51792,22.36,231611,51792,95548,False
Patharkandi,Suresh Sen,Bharatiya Janata Party,25878,261,26139,11.29,231611,26139,95548,False
Patharkandi,Priya Menon,All India United Democratic Front,16533,166,16699,7.21,231611,16699,95548,False
Patharkandi,Amit Patel,None of the Above,5008,50,5058,2.18,231611,5058,95548,False
Patharkandi,Deepa Nair,Independent,2212,22,2234,0.96,231611,2234,95548,False
Ram Krishna Nagar,Amit Gogoi,Asom Gana Parishad,80785,816,81601,33.96,240273,81601,81601,True
Ram Krishna Nagar,Suresh Nair,Bharatiya Janata Party,67949,686,68635,28.57,240273,68635,81601,False
Ram Krishna Nagar,Suresh Sen,None of the Above,11902,120,12022,5.0,240273,12022,81601,False
Ram Krishna Nagar,Ramesh Gogoi,All India United Democratic Front,11343,114,11457,4.77,240273,11457,81601,False
Ram Krishna Nagar,Rahul Reddy,Indian National Congress,10903,110,11013,4.58,240273,11013,81601,False
Ram Krishna Nagar,Deepa Gogoi,Independent,3762,38,3800,1.58,240273,3800,81601,False
